V1,Average Value of bitstampUSD Buys
3/8/2014,580.1708354
3/9/2014,533.1732887
3/10/2014,502.5248192
3/11/2014,498.4086366
3/12/2014,462.8993501
3/13/2014,456.6838446
3/14/2014,478.9957727
3/15/2014,455.8488822
3/16/2014,436.0893681
3/17/2014,444.1330626
3/18/2014,451.3909305
3/19/2014,457.8362168
3/20/2014,454.4871885
3/21/2014,453.1201996
3/22/2014,446.8832915
3/23/2014,400.5940337
3/24/2014,397.1852525
3/25/2014,425.9748966
3/26/2014,411.4149644
3/27/2014,449.7582947
3/28/2014,492.273921
3/29/2014,519.3962526
3/30/2014,503.831284
3/31/2014,486.505404
4/1/2014,493.6989994
4/2/2014,504.551969
4/3/2014,502.3872221
4/4/2014,494.6128532
4/5/2014,490.1929807
4/6/2014,490.4422577
4/7/2014,463.6848042
4/8/2014,459.6200591
4/9/2014,447.8339074
4/10/2014,437.3694129
4/11/2014,444.5550319
4/12/2014,444.4187306
4/13/2014,457.3806689
4/14/2014,451.1296392
4/15/2014,440.5617848
4/16/2014,435.0341864
4/17/2014,432.3345444
4/18/2014,428.3184312
4/19/2014,440.4175804
4/20/2014,444.5297385
4/21/2014,449.8762484
4/22/2014,453.7966618
4/23/2014,441.9977897
4/24/2014,438.8376688
4/25/2014,437.7615742
4/26/2014,443.6527477
4/27/2014,449.02561
4/28/2014,448.3184223
4/29/2014,448.7701645
4/30/2014,447.8378771
5/1/2014,446.3129707
5/2/2014,476.0448466
5/3/2014,494.5078402
5/4/2014,513.3742951
5/5/2014,531.7692584
5/6/2014,522.2084274
5/7/2014,565.5056848
5/8/2014,583.0678819
5/9/2014,572.8080311
5/10/2014,574.0228314
5/11/2014,569.1257892
5/12/2014,604.0159741
5/13/2014,620.9213117
5/14/2014,647.6834645
5/15/2014,644.6596315
5/16/2014,666.8582339
5/17/2014,640.8266583
5/18/2014,656.2185709
5/19/2014,655.8095353
5/20/2014,648.7079136
5/21/2014,655.9184145
5/22/2014,648.2638051
5/23/2014,649.8114657
5/24/2014,634.6761917
5/25/2014,597.6203009
5/26/2014,591.0821381
5/27/2014,564.2175406
5/28/2014,569.5179934
5/29/2014,596.9300381
5/30/2014,596.6267304
5/31/2014,608.5782379
6/1/2014,602.670894
6/2/2014,590.6029336
6/3/2014,588.3961607
6/4/2014,598.9569419
6/5/2014,588.9623034
6/6/2014,582.6379187
6/7/2014,566.1194451
6/8/2014,569.7996307
6/9/2014,584.3244907
6/10/2014,596.6629082
6/11/2014,595.8292158
6/12/2014,625.7101305
6/13/2014,648.2448629
6/14/2014,648.6306463
