"currency","high","latest_trade","weighted_price","bid","volume","ask","low","duration","close","avg","symbol","currency_volume"
"163","PLN",NA,1470649881,NA,1227.5,0,1240,NA,88386,2289,NA,"bitcurexPLN",0
"164","USD",NA,1407227068,NA,9100,0,NA,NA,88386,600,NA,"bitaloUSD",0
"165","PLN",NA,1395435311,NA,NA,0,1700,NA,88386,1950,NA,"bitaloPLN",0
"166","GBP",NA,1405407199,NA,1896343.188,0,NA,NA,88386,340,NA,"bitaloGBP",0
"167","EUR",NA,1422549028,NA,6900,0,306,NA,88386,200,NA,"bitaloEUR",0
"168","AUD",NA,1349296271,NA,NA,0,NA,NA,88386,14,NA,"bitmarketAUD",0
"169","RUB",NA,1319445325,NA,NA,0,NA,NA,88386,300,NA,"bitmarketRUB",0
"170","USD",NA,1356047578,NA,NA,0,NA,NA,88387,14,NA,"bitmarketUSD",0
"171","USD",7634.99,1528226354,7384.51635392797,7437,3.42073437,7630,7233.21,88563,7634.99,7384.51635392797,"bitkonanUSD",25260.4688977085
"172","EUR",NA,1393856453,NA,316.54185,0,419,NA,88387,308.01092,NA,"intrsngEUR",0
"173","INR",729713.95,1528250410,515529.644185286,664215.67,17.47022663,519300,477210.19,88387,578998.56,515529.644185286,"localbtcINR",9006419.7184002
"174","PLN",NA,1393292930,NA,484.86703,0,517.15322,NA,88387,403.05837,NA,"mtgoxPLN",0
"175","CAD",NA,1393290633,NA,146.16779,0,153.75652,NA,88387,120.01,NA,"mtgoxCAD",0
"176","EUR",NA,1510057118,NA,2501.31,0,4499.99,NA,88387,4499.99,NA,"hitbtcEUR",0
"177","USD",NA,1510932147,NA,7906.62,0,7910,NA,88387,7915.48,NA,"hitbtcUSD",0
"178","CNY",NA,1506743999,NA,28158,0,28399.99,NA,88387,28158,NA,"btcnCNY",0
"179","GBP",NA,1395873427,NA,NA,0,300,NA,88387,300,NA,"bit121GBP",0
"180","EUR",NA,1411047892,NA,357.7,0,403.82,NA,88387,255,NA,"btceurEUR",0
"181","PLN",28257,1528249740,27646.9203841819,27800.0001,101.13218768,27901.2666,27109.997,88563,27802.741,27646.9203841819,"bitmarketPLN",2795993.5410671
"182","USD",7677.5,1528252562,7517.92715703906,7605.66,5930.49606074,7605.67,7355,88563,7600.01,7517.92715703906,"coinbaseUSD",44585037.3897504
"183","CAD",9625,1528250804,9500.7734576754,9513,36.06280668,9615.9,9400,88388,9619.3,9500.7734576754,"krakenCAD",342624.556514623
"184","GBP",5720.32,1528252369,5638.8134875315,5690,144.98987013,5690.01,5555,88564,5690.62,5638.8134875315,"coinbaseGBP",817570.835244484
"185","EUR",6551.26,1528252434,6429.2978650821,6511.89,1193.4589331,6513.24,6330,88565,6508.5,6429.2978650821,"coinbaseEUR",7673102.97064299
"186","USD",7779.909,1528252523,7585.97492216636,1e+06,69.56437939,0.005,7363,88565,7677.818,7585.97492216636,"btcalphaUSD",527713.637528606
"187","PLN",NA,1509885322,NA,37217.3,0,NA,NA,88388,26021.26,NA,"fluctoPLN",0
"188","EUR",6548.93,1528252516,6413.09988583852,6493.73,12.0969,6507.27,6303.07,88565,6519.32,6413.09988583852,"rockEUR",77578.628009
"189","SLL",NA,1379943055,NA,NA,0,NA,NA,88389,18050,NA,"rockSLL",0
"190","USD",7636,1528252551,7469.78430798307,7551,5.9789,7600,7371,88565,7602,7469.78430798307,"btccUSD",44661.093399
"191","JPY",842489,1528252559,825020.100475361,835251,2661.28932,835501,812272,88565,835501,825020.100475361,"coincheckJPY",2195617182.18041
"192","CZK",162501,1528216979,162500.666666667,162501,0.03,176547,162500,88565,162501,162500.666666667,"bitstockCZK",4875.02
"193","VND",2259989152.05,1528207923,171667920.746107,172118394.16,9.05711954,178107442.48,166216939.04,88565,166216939.04,171667920.746107,"localbtcVND",1554816879.38073
"194","IDR",107611000,1528251728,106416600.932171,107166000,3.526819,107170000,105011000,88565,107345000,106416600.932171,"bitxIDR",375312090.083
"195","MYR",28489,1528252540,28244.7893228028,28249,8.537203,28250,28081,88565,28249,28244.7893228028,"bitxMYR",241131.500141
"196","NGN",2769000,1528252512,2727310.61077266,2766948,47.759245,2766949,2700001,88565,2766948,2727310.61077266,"bitxNGN",130254295.650991
"197","ZAR",102199,1528252296,99650.4597114117,101091,342.988786,101092,98506,88565,101091,99650.4597114117,"bitxZAR",34178990.200759
"198","JPY",829970,1528251830,798642.670470266,799988,11.59665384,830866,675000,88565,818541,798642.670470266,"krakenJPY",9261582.59129687
